water_source_clean,water_source_category,water_tech_clean,clean_adm1,clean_adm2,clean_adm3,status_clean,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,local_population,served_population,crucialness,pressure,staleness_score,latitude,longitude,chirps_30_precipitation,ndvi_30_NDVI,lst_30_LST_Day_1km,pop_population,risk_score
Undefined Well,Well,Public Tapstand,Makueni,Makueni,Nzaui/Kilili/Kalamba,Non-Functional,19348.80246660599,1399.5474989729123,13504.445565703814,53614.65629283285,17418.59185540573,561.0,561.0,1.0,1.87,67.73253763292519,-1.923424,37.535232,0.8035379648208618,0.5256000000000001,22.3366666666667,2.1091442108154297,1
Protected Well,Well,Motorized Pump - Electric,Kakamega,Butere,Marenyo - Shianda,Non-Functional,9321.484475440217,2872.219290829185,2859.3926831121066,27823.1269965447,4000.9057638833433,2798.0,111.0,0.0396711937097927,0.37,93.15336468647514,0.186933,34.519115,6.072510242462158,0.7869,23.70500000000004,6.4788336753845215,1
Borehole/Tubewell,Well,Motorized Pump,Kiambu,Limuru,Ngecha Tigoni,Functional,1306.2633357398822,1649.885953531582,212.57520915791773,21148.67107367036,1669.0918488500918,5791.0,1739.0,0.3002935589708168,5.796666666666667,26.119370320470903,-1.165497,36.667507,1.7113324403762815,0.4294,16.475000000000023,19.707826614379883,2
Protected Well,Well,Motorized Pump - Electric,Siaya,Ugenya,East Ugenya,Non-Functional,8324.910094888575,266.1375470060139,421.046936217278,28370.8476457607,9374.401192336189,2523.0,209.0,0.082837891399128,0.6966666666666667,88.79539692474496,0.30928,34.291096,6.123486042022705,0.8015,24.345000000000027,7.627918243408203,2
Sand or Sub-surface Dam,Sand or Sub-surface Dam,Public Tapstand,Makueni,Kibwezi East,Ivingoni/Nzambani,"Functional, not in use",28611.84885242809,7510.216851046583,1246.0832511631008,108925.46264676824,15432.66879995029,264.0,87.0,0.3295454545454545,1.1566666666666667,67.7752514743934,-2.662045,38.046091,0.2697385847568512,0.3577,29.33500000000004,0.3308558762073517,1
Borehole/Tubewell,Well,Public Tapstand,Migori,Nyatike,Kachien'G,Non-Functional,67816.6164963001,798.8790285762378,43.98702370406073,69071.07026088386,38934.16918083596,1812.0,1812.0,1.0,6.04,67.62587076472403,-0.826815,34.167301,1.1845083236694336,0.6506500000000001,25.77000000000004,3.069711685180664,2
Protected Well,Well,Hand Pump,Homa Bay,Ndhiwa,Kanyamwa Kosewe,Non-Functional,43007.76024643125,473.5449101577864,616.1381422196869,44359.94391915778,16630.837951207966,3187.0,432.0,0.1355506746156259,1.44,21.307294401435545,-0.731,34.374,2.382489919662476,0.70245,24.850000000000023,7.406820297241211,3
Borehole/Tubewell,Well,Public Tapstand,Kakamega,Butere,Marama Central,"Functional, not in use",9843.956686217072,2682.401828739474,196.0978648261568,28900.99088879096,2056.545883999201,3247.0,144.0,0.0443486295041576,0.48,67.60455755734841,0.234623,34.494918,5.807560920715332,0.7635000000000001,23.88000000000005,9.917984008789062,2
Unprotected Well,Well,Hand Pump,Embu,Runyenjes,Central Ward,"Functional, not in use",84.41650875735982,3485.3506849397963,1950.664023533336,15570.187594757348,7068.952141390077,3456.0,1511.0,0.4372106481481481,5.036666666666667,26.559393683545668,-0.438964,37.558151,0.7014334797859192,0.50995,22.57666666666671,11.901111602783203,2
Borehole/Tubewell,Well,Hand Pump - India Mark,Busia,Budalangi,Bunyala North,Functional,25134.012958152176,3653.2679776500654,351.08551671728776,37578.60125071879,25182.60145704783,2117.0,272.0,0.1284837033538025,0.9066666666666666,24.733171405752632,0.132225,34.035778,2.181748628616333,0.7496,24.77000000000004,4.03239107131958,1
Piped Water,Piped Water,Hand Pump,Kiambu,Thika Town,Kamenu,Functional,17380.07319186258,1682.8054874502395,2734.309942864265,1528.8119736052554,8648.13521330651,2156.5,341.0,0.1812778603268945,1.1566666666666667,26.03716824324743,-1.050121,37.07444,0.5519587397575378,0.43685,26.27000000000004,68.18590545654297,2
