DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
47,2185,482,867,2007,3476,1,867,1532,1822,806,1569
33,2120,2600,4395,15673,2737,1,5229,1019,2587,471,1823
44,2185,1682,3516,10887,3057,1,3472,880,1816,427,1721
35,2185,1352,2397,-1282,3490,1,346,1488,2412,558,2493
35,2116,1633,2769,15709,3429,0,292,1423,2513,578,2397
42,2116,939,1818,8252,3517,0,813,1386,1997,535,2188
35,2116,996,1693,-731,3575,0,546,1855,2601,682,2798
42,4164,502,949,6385,3500,0,1038,1430,1733,713,1807
33,34965,3810,6244,11023,3094,1,3037,737,3011,342,1295
37,2116,1828,3485,2349,3643,0,1293,1117,2307,366,2191
44,2185,1576,2698,9392,3190,1,4238,1443,2491,615,2612
35,2116,653,1128,-2332,3570,0,886,1661,2082,791,2168
42,2116,1391,2071,15977,3210,0,1884,1840,2803,878,3066
35,2116,1755,2761,16119,2956,0,3344,1504,2640,724,3165
37,2116,1176,1641,9320,3377,0,1233,2244,3124,1050,3553
35,2116,2700,4815,15806,3364,0,651,889,2513,364,1765
35,2116,1271,2485,14135,3337,0,587,1285,2127,430,2457
33,2190,1316,1869,13806,2954,3,4732,2073,3023,803,3734
42,2116,1184,2046,8600,3491,0,1029,1856,2811,507,3981
35,2116,2400,4178,14175,3356,0,1410,1054,2540,445,2116
45,2116,907,1850,15053,3313,0,1828,1196,1736,536,1907
35,2116,1810,3029,-1202,3524,0,562,1476,2743,538,2802
47,2116,642,1037,4017,3444,0,856,1818,2245,895,2400
35,2185,1842,3678,15598,2990,1,3889,950,2051,376,1875
35,2116,2784,5127,15989,3055,0,2972,783,2404,329,1484
35,2116,1121,1808,13552,3433,0,643,2072,2985,675,3597
33,2120,1480,2609,12563,3137,1,3922,1411,2392,572,2484
39,2261,1840,2692,6033,3386,1,4649,1635,2815,876,2647
35,2116,1644,3043,15081,3368,0,48,1211,2257,471,2655
47,2185,714,1333,3199,3461,1,725,1532,2003,630,1824
40,2185,2985,5286,-1594,3424,1,290,782,2532,340,1692
37,2116,1112,1948,3811,3528,0,1079,1946,2887,457,3828
35,2116,1127,1930,32,3478,0,323,1841,2716,573,3270
42,2116,1043,1770,13749,3300,0,759,1609,2280,800,2406
35,2116,860,1785,14612,3466,0,774,1277,1833,452,2001
47,2116,1649,3076,-425,3498,0,331,1152,2163,493,2159
45,2116,969,1427,14475,3292,0,1798,2300,3055,980,3525
45,2116,1115,2523,15671,3389,0,943,941,1570,410,1417
35,2116,1113,2272,12621,3472,0,893,1159,1837,477,1876
33,2120,1729,3111,15313,2925,1,4447,1267,2401,480,2366
40,2116,1147,2155,7622,3441,0,807,1294,1999,587,2467
42,2116,1441,2555,16187,3235,0,1492,1482,2493,513,2975
33,2189,2022,3457,15287,2804,1,5374,1106,2271,598,1944
35,2116,1089,2121,-2420,3609,0,739,1227,1872,575,1606
33,2120,1752,3368,15882,2824,1,4467,1017,2045,461,2030
33,2116,1287,2880,15728,3328,0,1377,893,1610,406,1673
45,2116,999,1406,-672,3526,0,1055,2493,3307,1052,4056
35,2116,1167,2173,15887,3448,0,986,1586,2445,470,3227
40,2116,774,1276,5655,3417,0,836,1697,2190,865,2173
40,2116,1998,3788,16013,3369,0,212,934,2076,450,1586
33,2189,2516,4650,15598,2745,1,5265,849,2301,385,1438
33,2189,1780,3155,15408,2810,1,5205,1206,2315,527,2315
37,2116,1200,1878,11064,3380,0,1333,1915,2797,784,3444
35,2116,2435,3931,-1814,3540,0,1444,1146,2644,555,2670
44,2185,1308,1929,143,3550,1,3129,2506,3694,749,4170
35,2116,1944,3479,16118,3279,0,1072,1200,2467,440,2323
33,2189,1593,2526,10358,3092,1,4405,1803,2981,703,3169
37,2116,1390,2608,864,3689,0,1610,1394,2376,410,3000
47,2185,1197,1496,12358,3175,1,3419,2692,3632,1349,3894
35,2116,671,1397,-436,3565,0,254,1363,1805,469,1967
35,2116,3583,5523,-2118,3469,0,554,875,3023,435,1508
37,2116,546,1065,10804,3525,0,1536,1485,1840,617,1774
35,2116,1224,2077,15228,3165,0,2104,1667,2535,627,3290
33,2120,1277,2281,16080,3098,0,2303,1442,2290,576,2976
35,2116,1670,3088,15689,3356,0,795,1220,2304,448,2341
42,2116,1213,1663,11067,3360,0,1278,2058,2878,1110,3254
47,2116,1200,2076,16146,3389,0,526,1718,2609,579,3166
35,2116,1344,2460,3424,3472,0,341,1365,2236,556,2413
47,2116,774,1080,5173,3484,0,303,2783,3464,1118,3877
35,2116,2340,4799,15780,3124,0,2693,701,1981,330,1396
42,2116,1149,2176,10560,3409,0,1281,1653,2557,365,3320
42,2185,1211,2463,16035,3269,1,1303,1161,1918,437,2477
40,2116,4481,7360,16293,3332,0,452,451,2966,217,920
42,2116,1257,2381,4006,3549,0,942,1110,1806,623,2000
37,2185,2122,3733,5448,3148,1,2465,1038,2237,572,1744
40,2116,2635,4950,15128,3345,0,493,746,2207,376,1195
44,6216,1047,2223,-28,3451,1,1724,522,1088,304,817
35,2116,1806,2751,15130,3182,0,1524,1800,2954,923,2080
42,2116,939,1818,8252,3517,0,813,1386,1997,535,2188
45,2116,910,1459,15721,3282,0,1773,1906,2554,824,2821
35,2116,898,1850,-2458,3629,0,709,1179,1714,520,1686
35,2116,4079,6611,14949,3343,0,926,628,3031,266,1120
40,2116,1627,2768,5278,3443,0,48,1474,2584,572,2753
35,2116,1619,3015,-308,3503,0,334,1186,2192,494,2210
40,2185,2974,5578,10848,3382,1,1012,677,2371,289,1296
35,2116,2782,4631,-1798,3543,0,1534,949,2588,461,2249
40,2116,1724,3706,12743,3432,0,706,840,1809,368,1832
42,2116,1326,2171,11321,3424,0,1477,1808,2789,649,3078
33,2066,1494,3082,15438,2856,3,4202,1131,1982,649,2000
35,2185,1190,2406,-977,3421,1,502,1109,1806,505,1757
35,2116,5258,8461,-783,3533,0,1439,258,3092,157,547
35,2116,1436,2283,-1447,3500,0,1023,1201,2095,617,1764
35,2116,2405,4275,15266,3394,0,750,979,2428,422,1394
35,2116,1116,1710,13679,3443,0,680,2097,2957,828,3423
39,2517,1550,2457,3577,3336,1,2417,1500,2444,886,2603
42,2116,1092,1993,10736,3453,0,1061,1751,2620,435,3384
45,2116,926,1988,15880,3269,0,1726,1068,1591,515,1396
37,2116,1301,2528,8721,3566,0,978,1292,2161,429,2581
33,2189,1938,3416,15496,2798,1,5142,1140,2317,527,1990
42,2116,1168,1612,6321,3417,0,1120,2252,3116,1085,3588
35,2116,1119,1961,15696,3418,0,409,1685,2509,564,3195
37,2116,1158,2271,2217,3530,0,823,1474,2339,336,3211
33,2120,1432,2289,9846,3114,1,4337,1842,2916,676,3352
35,2116,1655,3403,-2351,3400,0,220,887,1790,458,1411
39,2261,1947,2732,3120,3644,1,3435,1660,2908,917,2689
35,2116,1299,2406,15966,3191,0,1483,1409,2300,479,2852
33,2116,2853,5351,14332,3411,0,1100,722,2377,295,1498
35,2116,1266,2517,7111,3483,0,849,1181,1967,471,2223
45,2185,706,1367,13879,3327,1,2201,1368,1801,624,1812
40,2116,1762,3204,15602,3288,0,1077,1131,2187,532,2167
40,2116,2452,4875,15775,3348,0,768,742,2129,320,1343
33,2189,2539,4364,12425,2931,1,5220,953,2390,527,1590
35,2116,1328,2551,-566,3389,0,151,1072,1803,594,2334
35,2116,2622,4661,-161,3425,0,180,887,2383,443,1685
42,2185,1225,1727,15344,3240,1,1899,1977,2799,1050,3084
35,2116,1298,2653,1357,3569,0,1081,1157,1988,392,2673
35,2116,1445,2607,-506,3495,0,384,1394,2355,543,2689
35,2116,1229,2234,15752,3177,0,1560,1457,2290,538,3130
35,2116,3108,4955,-1363,3545,0,1583,957,2806,478,2066
45,2116,1813,3991,15503,3368,0,1283,748,1735,344,1331
35,2116,1767,3008,-1391,3525,0,544,1409,2610,535,2863
40,2185,926,1295,9580,3465,1,680,2569,3333,1083,4155
47,2116,994,1279,5736,3461,0,2241,2854,3684,1313,4400
40,2116,2686,5046,15964,3343,0,624,770,2334,318,1409
35,2116,1250,2660,15636,3431,0,220,986,1704,446,1679
40,2185,1029,1555,7919,3513,1,783,2127,2904,904,3423
35,2116,532,925,-2683,3551,0,94,2038,2445,723,2910
35,2116,3308,5995,12159,3413,0,36,641,2556,255,954
35,2116,2505,4375,-2522,3431,0,96,990,2478,451,1441
35,2116,4153,6372,7162,3433,0,1861,698,3133,359,1321
35,2116,1162,2111,13464,3454,0,666,1394,2132,613,2260
35,2116,2857,5511,15994,3051,0,2997,677,2322,259,1314
