DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
35,2116,3735,5819,1501,3493,0,1327,803,3032,395,1736
37,2116,1051,1436,4021,3478,0,1854,2566,3426,1116,3800
37,2116,1126,1900,13994,3349,0,1154,1679,2464,677,2829
42,2116,1127,2243,15653,3408,0,1323,1453,2290,325,3086
35,2116,1620,3067,16014,3180,0,2050,1102,2074,490,2162
44,2185,1261,2057,13208,3019,1,4599,1900,2877,656,3220
35,2116,1384,2659,-909,3462,0,177,1210,2071,494,2698
35,2116,1672,3109,13824,3449,0,152,1265,2332,503,2599
35,2116,2301,4458,16020,3237,0,1425,839,2164,364,1506
35,3098,2835,5157,14083,2949,3,4163,956,2357,857,1074
47,2185,432,879,7588,3473,1,834,1309,1562,645,1297
47,2116,937,1670,1380,3566,0,223,1467,2053,693,1946
40,2116,3068,5672,16139,3348,0,427,636,2306,333,1037
33,2116,3657,6063,5765,3459,0,1943,714,2874,318,1401
40,2185,489,904,12512,3369,1,999,1415,1698,777,1984
45,2116,813,1681,15288,3371,0,1220,1282,1799,481,2089
37,2116,1180,1552,8364,3332,0,2231,2839,3880,1179,4238
37,2116,1270,2486,5012,3507,0,1152,1395,2318,339,2888
35,2118,1917,3297,15194,2842,3,4171,1216,2401,549,2718
35,2116,1579,3063,16143,3179,0,1849,1148,2161,400,2172
33,2120,1322,1981,9498,3175,1,4208,2075,3092,844,3519
35,2116,1121,1808,13552,3433,0,643,2072,2985,675,3597
40,2116,970,1457,9996,3521,0,722,1942,2605,959,2655
40,2185,2562,4751,-1955,3405,1,468,778,2189,410,1488
33,2189,1132,1752,4824,3429,1,2648,2179,3102,778,3435
35,2116,882,1257,8059,3429,0,318,2831,3649,1000,4657
35,2116,2741,4863,-1862,3479,0,649,843,2424,404,1614
35,2116,1244,2051,15814,3440,0,379,1716,2588,704,2687
42,2116,1361,1933,15612,3169,0,2847,2088,3085,970,3430
35,2116,1269,2161,16219,3117,0,2255,1729,2678,518,3120
42,2116,5238,8325,755,3549,0,1848,296,3199,158,660
35,35221,1856,3309,15368,2849,1,4263,1293,2445,619,2407
35,2116,5265,7641,-790,3420,0,170,476,3571,230,884
42,2116,1069,1875,6982,3451,0,898,1596,2329,636,2903
45,2116,1008,2298,15169,3524,0,897,924,1486,422,1466
33,3102,3795,5559,3377,3392,3,3073,1012,3212,689,1462
44,2116,1507,2355,198,3501,0,3116,1799,2896,724,3243
47,2116,809,1434,6377,3413,0,843,1447,1936,751,1995
40,2185,692,1391,8166,3437,1,1251,1258,1662,611,1539
33,2189,2201,4492,15640,2710,1,5368,797,2077,303,1771
47,2116,1485,2250,-2105,3487,0,837,1701,2668,873,2958
37,2116,891,1446,-1274,3658,0,2289,2065,2763,746,2907
33,2189,1915,2920,12200,2990,1,3583,1528,2777,752,2405
35,2116,1324,2447,16199,3184,0,1503,1391,2291,482,2857
40,2116,2043,3705,13534,3289,0,1039,1037,2250,478,2022
35,2116,1938,3792,16008,3313,0,854,978,2166,356,1968
47,2185,1096,1558,16181,3044,1,2852,2172,2975,1027,3425
33,2120,1399,2422,15418,2843,1,5049,1420,2325,622,2668
33,2189,2336,4173,15458,2787,1,5236,955,2290,474,1697
42,2116,1183,2459,15317,3440,0,1386,1163,1907,416,2511
35,2116,2837,4728,6774,3414,0,1161,936,2605,470,2104
35,2116,2296,3332,-2527,3453,0,225,1627,3251,707,2621
35,2116,1220,1998,14232,3419,0,773,1685,2525,724,2904
40,2116,3601,6316,15321,3352,0,848,588,2607,281,1198
42,2116,1216,2270,10179,3373,0,1311,1470,2331,461,3091
33,2189,2058,3829,15373,2783,1,5354,974,2178,452,1924
45,2116,1374,2824,15841,3401,0,764,1039,1844,447,1880
40,2185,997,1355,9553,3301,1,2735,2139,2809,1177,3287
47,2185,1022,2150,9762,3467,1,1802,1180,1824,424,1795
37,2116,1574,3177,9420,3549,0,980,1053,2033,375,2173
35,2185,1409,2621,15978,2999,1,3257,1429,2439,428,2795
37,2185,1260,2326,10603,3501,1,986,1551,2474,452,3198
35,2116,900,1822,11630,3539,0,1165,1289,1861,498,2027
35,2116,1912,3669,16011,3368,0,701,1006,2169,396,1730
45,2185,1135,2130,15166,3358,1,1437,1349,2070,581,2129
45,2116,755,1545,13406,3331,0,1736,1258,1716,551,2019
45,2116,1171,2454,15609,3443,0,840,1030,1700,478,1810
